ElectionDate,PartyCode,PartyName,RaceCode,RaceName,CountyCode,CountyName,Juris1num,Juris2num,Precincts,PrecinctsReporting,CanNameLast,CanNameFirst,CanNameMiddle,CanVotes
8/28/18,REP,Republican Party,USS,United States Senator,GIL,Gilchrist,   , ,10,10,De La Fuente,Roque,Rocky,304
8/28/18,REP,Republican Party,USS,United States Senator,GLA,Glades,   , ,13,13,De La Fuente,Roque,Rocky,98
8/28/18,REP,Republican Party,USS,United States Senator,GUL,Gulf,   , ,10,10,De La Fuente,Roque,Rocky,263
8/28/18,REP,Republican Party,USS,United States Senator,HAM,Hamilton,   , ,8,8,De La Fuente,Roque,Rocky,100
8/28/18,REP,Republican Party,USS,United States Senator,HAR,Hardee,   , ,12,12,De La Fuente,Roque,Rocky,263
8/28/18,REP,Republican Party,USS,United States Senator,HEN,Hendry,   , ,10,10,De La Fuente,Roque,Rocky,201
8/28/18,REP,Republican Party,USS,United States Senator,HER,Hernando,   , ,64,64,De La Fuente,Roque,Rocky,2651
8/28/18,REP,Republican Party,USS,United States Senator,HIG,Highlands,   , ,25,25,De La Fuente,Roque,Rocky,1086
8/28/18,REP,Republican Party,USS,United States Senator,HIL,Hillsborough,   , ,390,390,De La Fuente,Roque,Rocky,10073
8/28/18,REP,Republican Party,USS,United States Senator,HOL,Holmes,   , ,8,8,De La Fuente,Roque,Rocky,397
8/28/18,REP,Republican Party,USS,United States Senator,IND,Indian River,   , ,36,36,De La Fuente,Roque,Rocky,2414
8/28/18,REP,Republican Party,USS,United States Senator,JAC,Jackson,   , ,14,14,De La Fuente,Roque,Rocky,336
8/28/18,REP,Republican Party,USS,United States Senator,JEF,Jefferson,   , ,16,16,De La Fuente,Roque,Rocky,224
8/28/18,REP,Republican Party,USS,United States Senator,LAF,Lafayette,   , ,5,5,De La Fuente,Roque,Rocky,63
8/28/18,REP,Republican Party,USS,United States Senator,LAK,Lake,   , ,102,102,De La Fuente,Roque,Rocky,3602
8/28/18,REP,Republican Party,USS,United States Senator,LEE,Lee,   , ,127,127,De La Fuente,Roque,Rocky,8103
8/28/18,REP,Republican Party,USS,United States Senator,LEO,Leon,   , ,155,155,De La Fuente,Roque,Rocky,3456
8/28/18,REP,Republican Party,USS,United States Senator,LEV,Levy,   , ,13,13,De La Fuente,Roque,Rocky,810
8/28/18,REP,Republican Party,USS,United States Senator,LIB,Liberty,   , ,8,8,De La Fuente,Roque,Rocky,58
8/28/18,REP,Republican Party,USS,United States Senator,MAD,Madison,   , ,11,11,De La Fuente,Roque,Rocky,140
8/28/18,REP,Republican Party,USS,United States Senator,MAN,Manatee,   , ,70,70,De La Fuente,Roque,Rocky,4712
8/28/18,REP,Republican Party,USS,United States Senator,MON,Monroe,   , ,33,33,De La Fuente,Roque,Rocky,1196
8/28/18,REP,Republican Party,USS,United States Senator,MRN,Marion,   , ,125,125,De La Fuente,Roque,Rocky,4724
8/28/18,REP,Republican Party,USS,United States Senator,MRT,Martin,   , ,30,30,De La Fuente,Roque,Rocky,4907
8/28/18,REP,Republican Party,USS,United States Senator,NAS,Nassau,   , ,15,15,De La Fuente,Roque,Rocky,1528
8/28/18,REP,Republican Party,USS,United States Senator,OKA,Okaloosa,   , ,52,52,De La Fuente,Roque,Rocky,3146
8/28/18,REP,Republican Party,USS,United States Senator,OKE,Okeechobee,   , ,11,11,De La Fuente,Roque,Rocky,438
8/28/18,REP,Republican Party,USS,United States Senator,ORA,Orange,   , ,247,247,De La Fuente,Roque,Rocky,7999
8/28/18,REP,Republican Party,USS,United States Senator,OSC,Osceola,   , ,87,87,De La Fuente,Roque,Rocky,1399
8/28/18,REP,Republican Party,USS,United States Senator,PAL,Palm Beach,   , ,871,871,De La Fuente,Roque,Rocky,8633
8/28/18,REP,Republican Party,USS,United States Senator,PAS,Pasco,   , ,110,110,De La Fuente,Roque,Rocky,5356
8/28/18,REP,Republican Party,USS,United States Senator,PIN,Pinellas,   , ,299,299,De La Fuente,Roque,Rocky,12525
8/28/18,REP,Republican Party,USS,United States Senator,POL,Polk,   , ,167,167,De La Fuente,Roque,Rocky,5508
8/28/18,REP,Republican Party,USS,United States Senator,PUT,Putnam,   , ,35,35,De La Fuente,Roque,Rocky,707
8/28/18,REP,Republican Party,USS,United States Senator,SAN,Santa Rosa,   , ,41,41,De La Fuente,Roque,Rocky,3711
8/28/18,REP,Republican Party,USS,United States Senator,SAR,Sarasota,   , ,101,101,De La Fuente,Roque,Rocky,6680
8/28/18,REP,Republican Party,USS,United States Senator,SEM,Seminole,   , ,81,81,De La Fuente,Roque,Rocky,4312
8/28/18,REP,Republican Party,USS,United States Senator,STJ,St. Johns,   , ,46,46,De La Fuente,Roque,Rocky,2730
8/28/18,REP,Republican Party,USS,United States Senator,STL,St. Lucie,   , ,64,64,De La Fuente,Roque,Rocky,2917
8/28/18,REP,Republican Party,USS,United States Senator,SUM,Sumter,   , ,26,26,De La Fuente,Roque,Rocky,1032
8/28/18,REP,Republican Party,USS,United States Senator,SUW,Suwannee,   , ,16,16,De La Fuente,Roque,Rocky,531
8/28/18,REP,Republican Party,USS,United States Senator,TAY,Taylor,   , ,14,14,De La Fuente,Roque,Rocky,224
8/28/18,REP,Republican Party,USS,United States Senator,UNI,Union,   , ,8,8,De La Fuente,Roque,Rocky,178
8/28/18,REP,Republican Party,USS,United States Senator,VOL,Volusia,   , ,125,125,De La Fuente,Roque,Rocky,4830
8/28/18,REP,Republican Party,USS,United States Senator,WAK,Wakulla,   , ,12,12,De La Fuente,Roque,Rocky,465
8/28/18,REP,Republican Party,USS,United States Senator,WAL,Walton,   , ,21,21,De La Fuente,Roque,Rocky,2232
8/28/18,REP,Republican Party,USS,United States Senator,WAS,Washington,   , ,12,12,De La Fuente,Roque,Rocky,324
8/28/18,REP,Republican Party,USS,United States Senator,ALA,Alachua,   , ,63,63,Scott,Rick,,12803
8/28/18,REP,Republican Party,USS,United States Senator,BAK,Baker,   , ,9,9,Scott,Rick,,3172
8/28/18,REP,Republican Party,USS,United States Senator,BAY,Bay,   , ,44,44,Scott,Rick,,17507
8/28/18,REP,Republican Party,USS,United States Senator,BRA,Bradford,   , ,14,14,Scott,Rick,,3145
8/28/18,REP,Republican Party,USS,United States Senator,BRE,Brevard,   , ,174,174,Scott,Rick,,62630
8/28/18,REP,Republican Party,USS,United States Senator,BRO,Broward,   , ,577,577,Scott,Rick,,54660
8/28/18,REP,Republican Party,USS,United States Senator,CAL,Calhoun,   , ,11,11,Scott,Rick,,880
8/28/18,REP,Republican Party,USS,United States Senator,CHA,Charlotte,   , ,67,67,Scott,Rick,,17537
8/28/18,REP,Republican Party,USS,United States Senator,CIT,Citrus,   , ,31,31,Scott,Rick,,20889
8/28/18,REP,Republican Party,USS,United States Senator,CLA,Clay,   , ,47,47,Scott,Rick,,26351
8/28/18,REP,Republican Party,USS,United States Senator,CLL,Collier,   , ,59,59,Scott,Rick,,41108
8/28/18,REP,Republican Party,USS,United States Senator,CLM,Columbia,   , ,22,22,Scott,Rick,,6709
8/28/18,REP,Republican Party,USS,United States Senator,DAD,Miami-Dade,   , ,762,762,Scott,Rick,,89015
8/28/18,REP,Republican Party,USS,United States Senator,DES,Desoto,   , ,15,15,Scott,Rick,,1706
8/28/18,REP,Republican Party,USS,United States Senator,DIX,Dixie,   , ,10,10,Scott,Rick,,1343
8/28/18,REP,Republican Party,USS,United States Senator,DUV,Duval,   , ,199,199,Scott,Rick,,68016
8/28/18,REP,Republican Party,USS,United States Senator,ESC,Escambia,   , ,79,79,Scott,Rick,,31704
8/28/18,REP,Republican Party,USS,United States Senator,FLA,Flagler,   , ,25,25,Scott,Rick,,12193
8/28/18,REP,Republican Party,USS,United States Senator,FRA,Franklin,   , ,8,8,Scott,Rick,,1170
8/28/18,REP,Republican Party,USS,United States Senator,GAD,Gadsden,   , ,25,25,Scott,Rick,,1734
8/28/18,REP,Republican Party,USS,United States Senator,GIL,Gilchrist,   , ,10,10,Scott,Rick,,2197
8/28/18,REP,Republican Party,USS,United States Senator,GLA,Glades,   , ,13,13,Scott,Rick,,867
8/28/18,REP,Republican Party,USS,United States Senator,GUL,Gulf,   , ,10,10,Scott,Rick,,1651
8/28/18,REP,Republican Party,USS,United States Senator,HAM,Hamilton,   , ,8,8,Scott,Rick,,862
8/28/18,REP,Republican Party,USS,United States Senator,HAR,Hardee,   , ,12,12,Scott,Rick,,2193
8/28/18,REP,Republican Party,USS,United States Senator,HEN,Hendry,   , ,10,10,Scott,Rick,,2013
8/28/18,REP,Republican Party,USS,United States Senator,HER,Hernando,   , ,64,64,Scott,Rick,,19193
8/28/18,REP,Republican Party,USS,United States Senator,HIG,Highlands,   , ,25,25,Scott,Rick,,10734
8/28/18,REP,Republican Party,USS,United States Senator,HIL,Hillsborough,   , ,390,390,Scott,Rick,,85523
8/28/18,REP,Republican Party,USS,United States Senator,HOL,Holmes,   , ,8,8,Scott,Rick,,2530
8/28/18,REP,Republican Party,USS,United States Senator,IND,Indian River,   , ,36,36,Scott,Rick,,16654
8/28/18,REP,Republican Party,USS,United States Senator,JAC,Jackson,   , ,14,14,Scott,Rick,,3521
8/28/18,REP,Republican Party,USS,United States Senator,JEF,Jefferson,   , ,16,16,Scott,Rick,,1628
8/28/18,REP,Republican Party,USS,United States Senator,LAF,Lafayette,   , ,5,5,Scott,Rick,,608
8/28/18,REP,Republican Party,USS,United States Senator,LAK,Lake,   , ,102,102,Scott,Rick,,34700
8/28/18,REP,Republican Party,USS,United States Senator,LEE,Lee,   , ,127,127,Scott,Rick,,62653
8/28/18,REP,Republican Party,USS,United States Senator,LEO,Leon,   , ,155,155,Scott,Rick,,19011
8/28/18,REP,Republican Party,USS,United States Senator,LEV,Levy,   , ,13,13,Scott,Rick,,4812
8/28/18,REP,Republican Party,USS,United States Senator,LIB,Liberty,   , ,8,8,Scott,Rick,,415
8/28/18,REP,Republican Party,USS,United States Senator,MAD,Madison,   , ,11,11,Scott,Rick,,1397
8/28/18,REP,Republican Party,USS,United States Senator,MAN,Manatee,   , ,70,70,Scott,Rick,,37130
8/28/18,REP,Republican Party,USS,United States Senator,MON,Monroe,   , ,33,33,Scott,Rick,,6565
8/28/18,REP,Republican Party,USS,United States Senator,MRN,Marion,   , ,125,125,Scott,Rick,,39338
8/28/18,REP,Republican Party,USS,United States Senator,MRT,Martin,   , ,30,30,Scott,Rick,,19510
8/28/18,REP,Republican Party,USS,United States Senator,NAS,Nassau,   , ,15,15,Scott,Rick,,12882
8/28/18,REP,Republican Party,USS,United States Senator,OKA,Okaloosa,   , ,52,52,Scott,Rick,,22779
8/28/18,REP,Republican Party,USS,United States Senator,OKE,Okeechobee,   , ,11,11,Scott,Rick,,3078
8/28/18,REP,Republican Party,USS,United States Senator,ORA,Orange,   , ,247,247,Scott,Rick,,60582
8/28/18,REP,Republican Party,USS,United States Senator,OSC,Osceola,   , ,87,87,Scott,Rick,,14169
8/28/18,REP,Republican Party,USS,United States Senator,PAL,Palm Beach,   , ,871,871,Scott,Rick,,68358
8/28/18,REP,Republican Party,USS,United States Senator,PAS,Pasco,   , ,110,110,Scott,Rick,,40455
8/28/18,REP,Republican Party,USS,United States Senator,PIN,Pinellas,   , ,299,299,Scott,Rick,,77855
8/28/18,REP,Republican Party,USS,United States Senator,POL,Polk,   , ,167,167,Scott,Rick,,53995
8/28/18,REP,Republican Party,USS,United States Senator,PUT,Putnam,   , ,35,35,Scott,Rick,,6780
8/28/18,REP,Republican Party,USS,United States Senator,SAN,Santa Rosa,   , ,41,41,Scott,Rick,,21470
8/28/18,REP,Republican Party,USS,United States Senator,SAR,Sarasota,   , ,101,101,Scott,Rick,,42998
8/28/18,REP,Republican Party,USS,United States Senator,SEM,Seminole,   , ,81,81,Scott,Rick,,36000
8/28/18,REP,Republican Party,USS,United States Senator,STJ,St. Johns,   , ,46,46,Scott,Rick,,31377
8/28/18,REP,Republican Party,USS,United States Senator,STL,St. Lucie,   , ,64,64,Scott,Rick,,20216
8/28/18,REP,Republican Party,USS,United States Senator,SUM,Sumter,   , ,26,26,Scott,Rick,,23820
8/28/18,REP,Republican Party,USS,United States Senator,SUW,Suwannee,   , ,16,16,Scott,Rick,,4119
8/28/18,REP,Republican Party,USS,United States Senator,TAY,Taylor,   , ,14,14,Scott,Rick,,1707
8/28/18,REP,Republican Party,USS,United States Senator,UNI,Union,   , ,8,8,Scott,Rick,,1210
8/28/18,REP,Republican Party,USS,United States Senator,VOL,Volusia,   , ,125,125,Scott,Rick,,47996
8/28/18,REP,Republican Party,USS,United States Senator,WAK,Wakulla,   , ,12,12,Scott,Rick,,2950
8/28/18,REP,Republican Party,USS,United States Senator,WAL,Walton,   , ,21,21,Scott,Rick,,8669
8/28/18,REP,Republican Party,USS,United States Senator,WAS,Washington,   , ,12,12,Scott,Rick,,2745
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",ESC,Escambia,1, ,79,79,Dosev,Cris,,13571
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",HOL,Holmes,1, ,6,6,Dosev,Cris,,217
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",OKA,Okaloosa,1, ,52,52,Dosev,Cris,,5517
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",SAN,Santa Rosa,1, ,41,41,Dosev,Cris,,9184
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",WAL,Walton,1, ,21,21,Dosev,Cris,,1944
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",ESC,Escambia,1, ,79,79,Gaetz,Matt,,21323
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",HOL,Holmes,1, ,6,6,Gaetz,Matt,,1519
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",OKA,Okaloosa,1, ,52,52,Gaetz,Matt,,19334
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",SAN,Santa Rosa,1, ,41,41,Gaetz,Matt,,15135
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",WAL,Walton,1, ,21,21,Gaetz,Matt,,7892
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",ESC,Escambia,1, ,79,79,Mills,John,,1738
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",HOL,Holmes,1, ,6,6,Mills,John,,165
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",OKA,Okaloosa,1, ,52,52,Mills,John,,1190
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",SAN,Santa Rosa,1, ,41,41,Mills,John,,955
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 1",WAL,Walton,1, ,21,21,Mills,John,,944
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 1",ESC,Escambia,1, ,79,79,Ehr,Phil,,8961
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 1",HOL,Holmes,1, ,6,6,Ehr,Phil,,222
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 1",OKA,Okaloosa,1, ,52,52,Ehr,Phil,,2603
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 1",SAN,Santa Rosa,1, ,41,41,Ehr,Phil,,2109
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 1",WAL,Walton,1, ,21,21,Ehr,Phil,,755
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 1",ESC,Escambia,1, ,79,79,Zimmerman,Jennifer,M.,12715
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 1",HOL,Holmes,1, ,6,6,Zimmerman,Jennifer,M.,391
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 1",OKA,Okaloosa,1, ,52,52,Zimmerman,Jennifer,M.,3891
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 1",SAN,Santa Rosa,1, ,41,41,Zimmerman,Jennifer,M.,4102
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 1",WAL,Walton,1, ,21,21,Zimmerman,Jennifer,M.,1323
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",BAY,Bay,2, ,44,44,Peters,Brandon,,4559
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",CAL,Calhoun,2, ,11,11,Peters,Brandon,,605
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",CLM,Columbia,2, ,19,19,Peters,Brandon,,2242
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",DIX,Dixie,2, ,10,10,Peters,Brandon,,540
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",FRA,Franklin,2, ,8,8,Peters,Brandon,,1257
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",GIL,Gilchrist,2, ,10,10,Peters,Brandon,,475
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",GUL,Gulf,2, ,10,10,Peters,Brandon,,674
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",HOL,Holmes,2, ,3,3,Peters,Brandon,,224
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",JAC,Jackson,2, ,14,14,Peters,Brandon,,2694
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",JEF,Jefferson,2, ,3,3,Peters,Brandon,,76
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",LAF,Lafayette,2, ,5,5,Peters,Brandon,,344
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",LEO,Leon,2, ,66,66,Peters,Brandon,,5797
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",LEV,Levy,2, ,13,13,Peters,Brandon,,1673
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",LIB,Liberty,2, ,8,8,Peters,Brandon,,761
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",MRN,Marion,2, ,21,21,Peters,Brandon,,2240
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",SUW,Suwannee,2, ,16,16,Peters,Brandon,,1476
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",TAY,Taylor,2, ,14,14,Peters,Brandon,,839
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",WAK,Wakulla,2, ,12,12,Peters,Brandon,,1240
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",WAS,Washington,2, ,12,12,Peters,Brandon,,767
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",BAY,Bay,2, ,44,44,Rackleff,Bob,,2959
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",CAL,Calhoun,2, ,11,11,Rackleff,Bob,,522
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",CLM,Columbia,2, ,19,19,Rackleff,Bob,,1001
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",DIX,Dixie,2, ,10,10,Rackleff,Bob,,287
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",FRA,Franklin,2, ,8,8,Rackleff,Bob,,729
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",GIL,Gilchrist,2, ,10,10,Rackleff,Bob,,267
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",GUL,Gulf,2, ,10,10,Rackleff,Bob,,413
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",HOL,Holmes,2, ,3,3,Rackleff,Bob,,112
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",JAC,Jackson,2, ,14,14,Rackleff,Bob,,1700
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",JEF,Jefferson,2, ,3,3,Rackleff,Bob,,117
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",LAF,Lafayette,2, ,5,5,Rackleff,Bob,,158
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",LEO,Leon,2, ,66,66,Rackleff,Bob,,14161
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",LEV,Levy,2, ,13,13,Rackleff,Bob,,790
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",LIB,Liberty,2, ,8,8,Rackleff,Bob,,625
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",MRN,Marion,2, ,21,21,Rackleff,Bob,,1452
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",SUW,Suwannee,2, ,16,16,Rackleff,Bob,,828
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",TAY,Taylor,2, ,14,14,Rackleff,Bob,,991
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",WAK,Wakulla,2, ,12,12,Rackleff,Bob,,1788
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 2",WAS,Washington,2, ,12,12,Rackleff,Bob,,495
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",ALA,Alachua,3, ,63,63,Sapp,Judson,,2707
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",BRA,Bradford,3, ,14,14,Sapp,Judson,,674
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",CLA,Clay,3, ,47,47,Sapp,Judson,,7397
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",MRN,Marion,3, ,51,51,Sapp,Judson,,4553
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",PUT,Putnam,3, ,35,35,Sapp,Judson,,1537
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",UNI,Union,3, ,8,8,Sapp,Judson,,200
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",ALA,Alachua,3, ,63,63,Yoho,Ted,,12321
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",BRA,Bradford,3, ,14,14,Yoho,Ted,,2781
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",CLA,Clay,3, ,47,47,Yoho,Ted,,21198
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",MRN,Marion,3, ,51,51,Yoho,Ted,,11482
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",PUT,Putnam,3, ,35,35,Yoho,Ted,,5874
8/28/18,REP,Republican Party,USR,"Representative in Congress, District 3",UNI,Union,3, ,8,8,Yoho,Ted,,1192
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",ALA,Alachua,3, ,63,63,Gosai,Dushyant,Jethagir,1907
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",BRA,Bradford,3, ,14,14,Gosai,Dushyant,Jethagir,105
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",CLA,Clay,3, ,47,47,Gosai,Dushyant,Jethagir,838
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",MRN,Marion,3, ,51,51,Gosai,Dushyant,Jethagir,681
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",PUT,Putnam,3, ,35,35,Gosai,Dushyant,Jethagir,325
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",UNI,Union,3, ,8,8,Gosai,Dushyant,Jethagir,27
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",ALA,Alachua,3, ,63,63,Hayes Hinson,Yvonne,,17740
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",BRA,Bradford,3, ,14,14,Hayes Hinson,Yvonne,,943
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",CLA,Clay,3, ,47,47,Hayes Hinson,Yvonne,,4918
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",MRN,Marion,3, ,51,51,Hayes Hinson,Yvonne,,5464
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",PUT,Putnam,3, ,35,35,Hayes Hinson,Yvonne,,2289
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",UNI,Union,3, ,8,8,Hayes Hinson,Yvonne,,301
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",ALA,Alachua,3, ,63,63,Wells,Tom,,9199
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",BRA,Bradford,3, ,14,14,Wells,Tom,,795
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",CLA,Clay,3, ,47,47,Wells,Tom,,2447
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",MRN,Marion,3, ,51,51,Wells,Tom,,2602
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",PUT,Putnam,3, ,35,35,Wells,Tom,,2134
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 3",UNI,Union,3, ,8,8,Wells,Tom,,486
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 5",BAK,Baker,5, ,9,9,Brown,Alvin,,585
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 5",CLM,Columbia,5, ,9,9,Brown,Alvin,,554
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 5",DUV,Duval,5, ,106,106,Brown,Alvin,,27188
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 5",GAD,Gadsden,5, ,25,25,Brown,Alvin,,1559
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 5",HAM,Hamilton,5, ,8,8,Brown,Alvin,,312
8/28/18,DEM,Democratic Party,USR,"Representative in Congress, District 5",JEF,Jefferson,5, ,16,16,Brown,Alvin,,357
